date,xsales,antallordre,produkt,sales,invoiced,refunded,sales tax,sales shipping,sales discount,canceled
2024-05-21, 28 155.90,20,36, 28 155.90, 15 571.60, 10 312.60, 5 417.58, 1 068.00, 1 766.10,0.0
2024-05-22, 27 688.45,20,33, 27 688.45, 15 297.45, 0.00, 5 186.49, 1 756.00, 764.55,0.0
2024-05-23, 16 176.75,10,23, 16 176.75, 8 167.75, 6 370.75, 3 128.55, 534.00, 1 124.25,0.0
2024-05-24, 12 406.00,12,29, 12 406.00, 2 909.00, 0.00, 2 303.20, 890.00, 0.00,0.0
2024-05-25, 15 481.15,8,15, 15 481.15, 13 129.15, 2 457.00, 3 025.03, 356.00, 419.85,0.0
2024-05-26, 14 640.00,10,15, 14 640.00, 7 154.00, 2 399.00, 2 839.00, 445.00, 0.00,0.0
2024-05-27, 20 338.60,13,32, 20 338.60, 14 751.40, 5 542.90, 3 927.10, 712.00, 1 091.40,0.0
2024-05-28, 9 930.40,7,16, 9 930.40, 7 221.40, 3 835.40, 1 812.88, 866.00, 359.60,0.0
2024-05-29, 17 591.00,12,18, 17 591.00, 6 773.00, 1 748.00, 3 309.40, 1 044.00, 0.00,0.0
2024-05-30, 25 661.75,19,38, 25 661.75, 12 056.90, 3 649.90, 4 936.55, 979.00, 1 094.25,0.0
2024-05-31, 18 062.00,10,24, 18 062.00, 5 736.00, 2 199.00, 3 541.20, 356.00, 0.00,0.0
2024-06-01, 14 302.00,12,20, 14 302.00, 4 296.00, 2 499.00, 2 718.00, 712.00, 0.00,0.0
2024-06-02, 10 596.00,10,16, 10 596.00, 5 362.00, 1 138.00, 1 976.80, 712.00, 0.00,0.0
2024-06-03, 23 765.25,20,29, 23 765.25, 6 125.00, 1 598.00, 4 503.85, 1 246.00, 696.75,0.0
2024-06-04, 37 137.80,19,59, 37 137.80, 18 255.25, 8 731.10, 7 183.16, 1 222.00, 1 843.20,0.0
2024-06-05, 23 548.95,18,25, 23 548.95, 4 098.00, 2 499.00, 4 513.99, 979.00, 340.05,0.0
2024-06-06, 28 570.65,19,41, 28 570.65, 14 241.65, 4 934.25, 5 518.33, 979.00, 2 227.35,0.0
2024-06-07, 37 413.45,20,64, 37 413.45, 12 748.50, 4 922.35, 7 358.09, 623.00, 2 690.55,0.0
2024-06-08, 12 726.25,11,17, 12 726.25, 557.00, 0.00, 2 420.65, 623.00, 549.75,0.0
2024-06-09, 12 215.40,10,22, 12 215.40, 4 757.80, 1 285.00, 2 264.68, 892.00, 1 284.60,0.0
2024-06-10, 38 833.35,26,39, 38 833.35, 16 477.35, 1 138.00, 7 553.07, 1 068.00, 1 645.65,0.0
2024-06-11, 20 166.00,18,30, 20 166.00, 11 042.00, 0.00, 3 682.00, 1 756.00, 0.00,0.0
2024-06-12, 52 522.55,31,93, 52 522.55, 15 147.15, 5 868.00, 10 219.71, 1 424.00, 1 953.45,0.0
2024-06-13, 29 849.00,20,47, 29 849.00, 18 131.40, 3 284.00, 5 774.00, 979.00, 3 807.00,0.0
2024-06-14, 16 830.20,15,40, 16 830.20, 8 945.20, 6 652.00, 3 152.44, 1 068.00, 982.80,0.0
2024-06-15, 7 783.00,6,13, 7 783.00, 6 018.00, 0.00, 1 485.40, 356.00, 0.00,0.0
2024-06-16, 21 809.95,15,32, 21 809.95, 14 503.30, 3 698.00, 4 166.19, 979.00, 1 327.05,0.0
2024-06-17, 21 948.80,17,26, 21 948.80, 10 286.00, 7 192.00, 4 193.96, 979.00, 358.20,0.0
2024-06-18, 15 526.05,13,17, 15 526.05, 5 613.45, 0.00, 2 927.21, 890.00, 2 881.95,0.0
2024-06-19, 28 904.20,24,43, 28 904.20, 11 944.00, 649.00, 5 394.04, 1 934.00, 2 260.80,0.0
2024-06-20, 14 509.75,13,21, 14 509.75, 4 468.30, 1 998.00, 2 723.95, 890.00, 764.25,0.0
2024-06-21, 11 381.00,10,16, 11 381.00, 6 281.00, 3 284.00, 2 133.80, 712.00, 0.00,0.0
2024-06-22, 9 365.00,13,18, 9 365.00, 4 971.00, 1 487.00, 1 659.40, 1 068.00, 0.00,0.0
2024-06-23, 21 215.00,14,28, 21 215.00, 13 230.00, 0.00, 4 118.40, 623.00, 0.00,0.0
2024-06-24, 15 673.00,14,25, 15 673.00, 10 306.00, 0.00, 2 752.60, 1 910.00, 0.00,0.0
2024-06-25, 25 404.00,16,29, 25 404.00, 16 101.00, 3 535.00, 4 956.20, 623.00, 0.00,0.0
2024-06-26, 21 192.50,17,26, 21 192.50, 8 386.50, 1 145.50, 4 060.50, 890.00, 0.00,0.0
2024-06-27, 22 289.20,12,36, 22 289.20, 16 189.05, 2 198.00, 4 147.04, 1 554.00, 562.80,0.0
2024-06-28, 17 408.30,11,26, 17 408.30, 8 242.30, 0.00, 3 374.86, 534.00, 299.70,0.0
